product_name,complaint_count
B40L 9782 5AS,3
B40 LEG 6W,3
B43 C 885 A,3
B55L 9672 5B,3
BKK 2296 TG,3
BKU 8024,3
BKU 8026,3
BEU 2922,3
HIC 64401,2
BOI 6020 FS,2
TB 5962 C,2
RHB 2910,2
HBS 5150 Floral,2
BMA 6102,2
BM 3013 S,2
BMA 6312,2
3938 ILS,2
BMA 3101 I,2
BMA 6202,2
3904,2
D3 4001,2
D 6001,2
SBS 14631 NELX,2
BK 8196,2
970470 MB,2
953650 EB,2
B 69400 NFK E,2
B 9472 NMN,2
B1 9464 NMX,2
9554 NF,2
191640 E,2
670480 M,2
D2 8275 SM,2
970406 MI,2
B 54275 YNK E,2
BK 9712 NF,2
74790 M,2
B1 8553 SMS,2
B 9500 NMX,2
870520 M,2
970431 MI,2
9603 SBS,2
B 9494 NEX,2
670560 EGC,2
BK 8101 E,2
D4 8121 E,2
D4 8101 ES,2
BK 8121 EY,2
BK 9121 CS,2
CM 8101 BB,2
BK 7102 ES,2
D6 7102 S,2
BKK 2211,2
CM 2940 K,2
BKK 2221 C Dem,2
BDT 6060 S,2
7083 MultiMode EI,2
7031 MB,2
7042 MB,2
BKK 1162,2
Crystal BKK 3095,2
BKK 2176,2
EK 5120 I,2
BKK 2109,2
BKK 2505,2
UltraForce 2.0 BKS 5564,2
BKS 5316,2
FD 410,2
FT 300,2
FRA 5364 S FitFry XXL,2
BKK 2144,2
BKK 2147,2
KL 5022 C,2
BKK 2184,2
74806 Plus,2
30940 PROSMART,2
412411,2
Prodens 30,2
D 91 HPS,2
D79 KT,2
MWB 2000 EXN,2
BMD 210 D,2
AFE 24000,2
AORG 64160 DAN,2
HB 7150,2
BKK 2111 IG Porselen,2
B32 B 685 A,2
B32L 5845 4B,2
B65 OLED 9900 5B,2
B32 C 685 A,2
B32 D 500 B,2
B32 D 694 B,2
B32 D 695 B,2
B40 D 694 B,2
B50 D 986 S,2
B32L 6760 5B,2
B43 B 880 B,2
B65 A 955 A,2
B40 LW 5433,2
B40L 5745 4B,2
B40 A 675 A,2
B55 6750 6B,2
Bistro BKK 2115,2
Expert BEU 5024 M,2
31650 AV,2
AOMM 64160 LI,1
AOV 64100 S,1
HTXG 64121 SX,1
BDE 9062,1
TB 8180 C Starlight,1
KB 5134 T,1
KB,1
BKK 3099 HBS,1
BKK 2153,1
BBM 160 D,1
BM 8018,1
BMA 5101,1
BM 3003 SY,1
BMA 5100,1
BBC 161,1
BM 6347 WF I,1
BBC 160,1
DFN26422W,1
BMA 6302 FI,1
BMA 6310,1
3925 EIP,1
754140 M,1
D 9573 NE,1
B1 9540 NM,1
B1 9460 NM,1
9621 NFEY,1
SBS 14650 NELX,1
B1 9490 NM,1
B9480 NEB,1
B9481 NEB,1
D 9546 NEG,1
B 9230 NMX,1
B1 8550 SM,1
B 9470 NMX,1
B 9540 NM,1
MB870520,1
9508 NES,1
D1 9488 NEXK,1
970430 MI,1
966410 MB,1
BK 9102 E,1
BK 8102 EY,1
CM 6100,1
CM 7100 T,1
CM 8100 B,1
D3 6081 E,1
BK 8101 ES,1
D3 8101 E,1
BM 6006 Mini,1
BK 8141 E,1
BKK 2215 IN,1
BKK 2116 Tea Party,1
BKK 2110 IM,1
CM 8922,1
ADC61620,1
MC 5056 I ExpertChef,1
BKK 2192 EK,1
BKK 2191,1
Floral EK 5920,1
EY 5021 Floral,1
TRB 2982 A,1
BKS 2522,1
BKS 9220,1
BFM 531 I,1
FM 320 SF,1
FK 5910,1
FRA 5334 B,1
MM 5371,1
SJA3209BX,1
KL 8221 I,1
