year,id,educ,sex,race,income,natfare,health,satfin
2010.0,1156.0,20.0,2.0,2.0,12.0,2.0,2.0,3.0
2010.0,1161.0,13.0,1.0,1.0,12.0,1.0,2.0,2.0
2010.0,1165.0,16.0,1.0,1.0,12.0,3.0,2.0,3.0
2010.0,1173.0,14.0,1.0,1.0,12.0,1.0,1.0,3.0
2010.0,1175.0,16.0,1.0,1.0,12.0,3.0,2.0,3.0
2010.0,1177.0,12.0,1.0,1.0,12.0,2.0,4.0,3.0
2010.0,1178.0,16.0,2.0,1.0,12.0,2.0,1.0,1.0
2010.0,1180.0,13.0,2.0,1.0,12.0,1.0,3.0,3.0
2010.0,1190.0,14.0,1.0,1.0,10.0,3.0,3.0,2.0
2010.0,1193.0,13.0,2.0,3.0,6.0,1.0,3.0,2.0
2010.0,1196.0,10.0,1.0,2.0,8.0,2.0,4.0,1.0
2010.0,1199.0,14.0,2.0,2.0,9.0,1.0,1.0,3.0
2010.0,1200.0,12.0,2.0,2.0,8.0,2.0,1.0,1.0
2010.0,1206.0,11.0,2.0,2.0,9.0,1.0,2.0,3.0
2010.0,1212.0,14.0,2.0,1.0,12.0,3.0,2.0,3.0
2010.0,1219.0,14.0,1.0,2.0,12.0,1.0,2.0,3.0
2010.0,1220.0,18.0,2.0,2.0,12.0,2.0,1.0,2.0
2010.0,1223.0,14.0,1.0,2.0,12.0,1.0,1.0,3.0
2010.0,1232.0,16.0,1.0,1.0,12.0,1.0,2.0,2.0
2010.0,1233.0,18.0,2.0,1.0,12.0,2.0,3.0,1.0
2010.0,1241.0,16.0,2.0,1.0,12.0,2.0,3.0,2.0
2010.0,1244.0,14.0,2.0,2.0,12.0,3.0,2.0,2.0
2010.0,1248.0,9.0,2.0,2.0,8.0,1.0,3.0,3.0
2010.0,1251.0,10.0,2.0,2.0,10.0,1.0,3.0,3.0
2010.0,1253.0,12.0,2.0,1.0,12.0,2.0,2.0,1.0
2010.0,1254.0,16.0,2.0,1.0,12.0,2.0,2.0,2.0
2010.0,1263.0,13.0,1.0,1.0,12.0,3.0,1.0,1.0
2010.0,1265.0,19.0,1.0,2.0,12.0,1.0,2.0,3.0
2010.0,1266.0,13.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,1269.0,12.0,2.0,2.0,1.0,2.0,2.0,2.0
2010.0,1271.0,14.0,1.0,1.0,12.0,2.0,3.0,1.0
2010.0,1273.0,14.0,1.0,1.0,12.0,2.0,1.0,1.0
2010.0,1277.0,17.0,1.0,1.0,12.0,3.0,2.0,3.0
2010.0,1280.0,13.0,1.0,1.0,12.0,2.0,2.0,3.0
2010.0,1281.0,16.0,1.0,3.0,12.0,1.0,2.0,2.0
2010.0,1283.0,18.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,1289.0,16.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,1293.0,12.0,2.0,2.0,11.0,1.0,2.0,2.0
2010.0,1302.0,14.0,2.0,2.0,12.0,3.0,1.0,1.0
2010.0,1306.0,18.0,1.0,1.0,12.0,3.0,1.0,2.0
2010.0,1316.0,13.0,1.0,2.0,8.0,1.0,2.0,2.0
2010.0,1319.0,18.0,1.0,1.0,12.0,3.0,1.0,1.0
2010.0,1322.0,18.0,2.0,1.0,12.0,1.0,1.0,2.0
2010.0,1332.0,4.0,2.0,1.0,7.0,1.0,3.0,2.0
2010.0,1338.0,15.0,2.0,1.0,12.0,1.0,2.0,2.0
2010.0,1339.0,6.0,2.0,1.0,9.0,2.0,3.0,2.0
2010.0,1342.0,12.0,1.0,3.0,11.0,2.0,2.0,2.0
2010.0,1344.0,14.0,2.0,1.0,12.0,3.0,2.0,2.0
2010.0,1345.0,12.0,1.0,3.0,12.0,3.0,3.0,2.0
2010.0,1347.0,6.0,2.0,3.0,3.0,2.0,3.0,2.0
2010.0,1352.0,12.0,1.0,3.0,7.0,2.0,3.0,2.0
2010.0,1357.0,11.0,2.0,1.0,12.0,3.0,2.0,2.0
2010.0,1359.0,6.0,2.0,1.0,3.0,3.0,3.0,2.0
2010.0,1361.0,16.0,1.0,1.0,12.0,3.0,3.0,2.0
2010.0,1363.0,8.0,1.0,1.0,12.0,2.0,3.0,2.0
2010.0,1366.0,10.0,1.0,1.0,9.0,1.0,4.0,3.0
2010.0,1370.0,16.0,1.0,2.0,12.0,2.0,2.0,2.0
2010.0,1373.0,14.0,1.0,1.0,12.0,3.0,1.0,3.0
2010.0,1381.0,12.0,1.0,1.0,12.0,2.0,2.0,3.0
2010.0,1382.0,12.0,1.0,1.0,12.0,2.0,4.0,3.0
2010.0,1387.0,15.0,2.0,1.0,7.0,3.0,2.0,1.0
